2019-12-24 23:12:37.914 [main] INFO  - Loading §anukkit.yml§f ...
2019-12-24 23:12:43.647 [main] INFO  - [Pokkit] This server is running Nukkit version v1.14.0 (Implementing API version 1.13.2-R0.1-SNAPSHOT)
2019-12-24 23:12:43.729 [main] INFO  - [Pokkit] Server permissions file C:\Users\Lemon\OneDrive\Documents\Music\Desktop\nukkit\plugins\Pokkit\permissions.yml is empty, ignoring it
2019-12-24 23:12:43.864 [main] INFO  - [Pokkit] [Vault] Enabling Vault v1.7.2-b107
2019-12-24 23:12:44.104 [main] INFO  - [Pokkit] [Vault] [Permission] SuperPermissions loaded as backup permission system.
2019-12-24 23:12:44.180 [main] INFO  - [Pokkit] [Vault] Enabled Version 1.7.2-b107
2019-12-24 23:12:44.193 [main] INFO  - Loading QuickSpawns v1.0
2019-12-24 23:12:44.211 [main] INFO  - [QuickSpawns] Loading QuickSpawns...
2019-12-24 23:12:44.221 [main] INFO  - Loading ReportSystem v1.0-SNAPSHOT
2019-12-24 23:12:44.245 [main] INFO  - Loading Scale v2.1
2019-12-24 23:12:44.259 [main] INFO  - Loading SeeInv v1.0
2019-12-24 23:12:44.285 [main] INFO  - Loading SRegionProtector v20.2
2019-12-24 23:12:44.333 [main] INFO  - Loading Trading_Interface v1.0.2
2019-12-24 23:12:44.354 [main] INFO  - Loading WalkingParticles v1.0.1
2019-12-24 23:12:44.383 [main] INFO  - Loading ChestShop v1.1.1
2019-12-24 23:12:44.409 [main] INFO  - Loading Holograms v3.1.3
2019-12-24 23:12:44.463 [main] INFO  - [Holograms] Loading characters...
2019-12-24 23:12:44.766 [main] INFO  - [Holograms] Loading config...
2019-12-24 23:12:44.803 [main] INFO  - [Holograms] Loading placeholders
2019-12-24 23:12:44.814 [main] INFO  - [Holograms] Registering default grid sources
2019-12-24 23:12:44.851 [main] INFO  - Loading Multipass v${pom.version}
2019-12-24 23:12:44.880 [main] INFO  - Loading MultiChat v1.0.2
2019-12-24 23:12:44.913 [main] INFO  - Enabling QuickSpawns v1.0
2019-12-24 23:12:44.926 [main] INFO  - [QuickSpawns] Enabling QuickSpawns..
2019-12-24 23:12:44.947 [main] INFO  - Enabling SRegionProtector v20.2
2019-12-24 23:12:45.137 [main] INFO  - [§eSRegionProtector§f] §aData provider was set to YAML
2019-12-24 23:12:45.448 [main] INFO  - [§eSRegionProtector§f] §aLoaded 3 regions and 96 chunks
2019-12-24 23:12:45.713 [main] INFO  - Enabling Holograms v3.1.3
2019-12-24 23:12:45.717 [main] INFO  - [Holograms] Loading grid config...
2019-12-24 23:12:45.747 [main] INFO  - [Holograms] Loading holograms
2019-12-24 23:12:45.985 [main] INFO  - Preparing level "§acruiser§f"
2019-12-24 23:12:46.111 [main] INFO  - Preparing level "§anether§f"
2019-12-24 23:12:46.126 [main] INFO  - Enabling AutoCleaner v1.0.1
2019-12-24 23:12:46.132 [main] INFO  - [AutoCleaner] §2Plugin by Extollite
2019-12-24 23:12:46.149 [main] INFO  - Enabling CustomEnchantsNK v1.0.0-beta3
2019-12-24 23:12:46.202 [main] INFO  - Enabling DiscordChat v2.0-beta
2019-12-24 23:12:50.865 [main] INFO  - Enabling EconomyAPI v2.0.1
2019-12-24 23:12:50.967 [main] WARN  - [EconomyAPI] Data provider was set to: Yaml
2019-12-24 23:12:50.982 [main] INFO  - Enabling EconomyJob v1.0
2019-12-24 23:12:51.015 [main] INFO  - Enabling EssentialsNK v1.8.0
2019-12-24 23:12:51.147 [main] INFO  - [EssentialsNK] EssentialsNK Loaded!
2019-12-24 23:12:51.152 [main] INFO  - Enabling Factions v1.7.0
2019-12-24 23:12:51.155 [main] INFO  - [Factions] [Factions v1.7.0] === ENABLE START ===
2019-12-24 23:12:51.262 [main] INFO  - [Factions] [Factions v1.7.0] Loading board from disk
2019-12-24 23:12:51.346 [main] INFO  - [Factions] [Factions v1.7.0] === ENABLE DONE (Took 184ms) ===
2019-12-24 23:12:51.349 [main] INFO  - Enabling FakeInventories v1.0.3
2019-12-24 23:12:51.362 [main] INFO  - Enabling FastAsyncWorldEdit v19.03.29-d13b946-1257-22.0.14
2019-12-24 23:12:53.486 [main] INFO  - Enabling GCape v2.2
2019-12-24 23:12:53.508 [main] ERROR - [GCape] An unexpected occurred when parsing capes: 
java.lang.ClassCastException: cn.nukkit.utils.SerializedImage cannot be cast to [B
	at CapeListener.<init>(CapeListener.java:19) ~[GCape.jar:?]
	at GCapes.onEnable(GCapes.java:52) [GCape.jar:?]
	at cn.nukkit.plugin.PluginBase.setEnabled(PluginBase.java:89) [nukkit-357.jar:?]
	at cn.nukkit.plugin.JavaPluginLoader.enablePlugin(JavaPluginLoader.java:117) [nukkit-357.jar:?]
	at cn.nukkit.plugin.PluginManager.enablePlugin(PluginManager.java:439) [nukkit-357.jar:?]
	at cn.nukkit.Server.enablePlugin(Server.java:733) [nukkit-357.jar:?]
	at cn.nukkit.Server.enablePlugins(Server.java:722) [nukkit-357.jar:?]
	at cn.nukkit.Server.<init>(Server.java:558) [nukkit-357.jar:?]
	at cn.nukkit.Nukkit.main(Nukkit.java:112) [nukkit-357.jar:?]
2019-12-24 23:12:53.523 [main] INFO  - [GCape] Successfully enabled GCapes!
2019-12-24 23:12:53.531 [main] INFO  - Enabling KotlinLib v1.1
2019-12-24 23:12:53.535 [main] INFO  - Enabling LoveRTP v1
2019-12-24 23:12:53.548 [main] INFO  - §8[§bLoveRTP§8] §rv1§a Enabled
2019-12-24 23:12:53.557 [main] INFO  - Enabling MultiWorld v1.0
2019-12-24 23:12:53.565 [main] INFO  - Enabling Pets v1.3
2019-12-24 23:12:53.587 [main] INFO  - Enabling PlaceholderAPI v1.3.1
2019-12-24 23:12:53.597 [main] INFO  - Enabling Pokkit v0.9.1
2019-12-24 23:12:53.633 [main] INFO  - Enabling ReportSystem v1.0-SNAPSHOT
2019-12-24 23:12:53.642 [main] INFO  - [ReportSystem] Starting ReportSystem...
2019-12-24 23:12:53.647 [main] INFO  - [ReportSystem] Loading all components...
2019-12-24 23:12:53.676 [main] INFO  - [ReportSystem] Using config...
2019-12-24 23:12:53.680 [main] INFO  - [ReportSystem] §aPlugin successfully started.
2019-12-24 23:12:53.683 [main] INFO  - Enabling Scale v2.1
2019-12-24 23:12:53.692 [main] INFO  - Enabling SeeInv v1.0
2019-12-24 23:12:53.695 [main] INFO  - Enabling Trading_Interface v1.0.2
2019-12-24 23:12:53.730 [main] INFO  - Enabling WalkingParticles v1.0.1
2019-12-24 23:12:53.734 [main] INFO  - Enabling ChestShop v1.1.1
2019-12-24 23:12:53.791 [main] INFO  - Enabling Multipass v${pom.version}
2019-12-24 23:12:53.888 [main] INFO  - [Multipass] §aData provider: §2YAML§a
2019-12-24 23:12:53.928 [main] INFO  - Enabling MultiChat v1.0.2
2019-12-24 23:12:54.086 [main] INFO  - Starting GS4 status listener
2019-12-24 23:12:54.089 [main] INFO  - Setting query port to 19132
2019-12-24 23:12:54.093 [main] INFO  - Query is running on 0.0.0.0:19132
2019-12-24 23:12:54.098 [main] INFO  - Default game type: Survival Mode
2019-12-24 23:12:54.101 [main] INFO  - Done (16.422s)! For help, type "help" or "?"
2019-12-24 23:12:56.340 [Nukkit Asynchronous Task Handler #2] INFO  - [Pokkit] [Vault] Checking for Updates ... 
2019-12-24 23:12:56.961 [Nukkit Asynchronous Task Handler #2] INFO  - [Pokkit] [Vault] No new version available
2019-12-24 23:14:23.933 [main] INFO  - §bLemonSqueezy360§f[/192.168.1.254:19133] logged in with entity id 1 at (cruiser, -947.5726, 235.0, -495.1951)
2019-12-24 23:14:32.090 [main] INFO  - §eLemonSqueezy360 joined the game
2019-12-24 23:16:31.888 [main] INFO  - [CONSOLE: Opped LemonSqueezy360]
2019-12-24 23:17:33.794 [main] INFO  - [CONSOLE: De-opped LemonSqueezy360]
2019-12-24 23:17:39.354 [main] INFO  - §aPlayer permissions updated
2019-12-24 23:17:45.987 [main] INFO  - §aFailed to execute command. Type §2/perm help§a to get help!
2019-12-24 23:18:01.285 [main] INFO  - §c5 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:18:02.285 [main] INFO  - §c4 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:18:03.286 [main] INFO  - §c3 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:18:03.586 [main] INFO  - §aPlayer §2LemonSqueezy360§a has permission §2particle.explode§a
2019-12-24 23:18:04.286 [main] INFO  - §c2 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:18:05.285 [main] INFO  - §c1 second left to cleaning items on the ground, animals and mobs!
2019-12-24 23:18:06.335 [main] INFO  - §cItems on the ground, animals and mobs deleted!
2019-12-24 23:19:03.480 [main] INFO  - §aPlayer permissions updated
2019-12-24 23:19:06.246 [Nukkit Asynchronous Task Handler #3] INFO  - [§eSRegionProtector§f] §aRemoved 0 empty chunks.
2019-12-24 23:19:06.274 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §aStarting auto save...
2019-12-24 23:19:06.290 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §a0 regions was automatically saved
2019-12-24 23:19:23.436 [main] INFO  - §aPlayer §2LemonSqueezy360§a has permission §2particle.explode§a
2019-12-24 23:19:29.654 [main] INFO  - §aConfiguration reloaded!
2019-12-24 23:19:29.696 [Nukkit Asynchronous Task Handler #3] INFO  - [Multipass] §cUser §cLemonSqueezy360§c is member of unknown group: §cvipLemonSqueezy360§c. Please check user configuration
2019-12-24 23:19:37.380 [main] INFO  - §aPlayer permissions updated
2019-12-24 23:19:43.084 [main] INFO  - §aPlayer §2LemonSqueezy360§a has permission §2particle.explode§a
2019-12-24 23:20:01.635 [main] INFO  - §cUnknown command. Try /help for a list of commands
2019-12-24 23:20:04.035 [main] INFO  - §d* §aPets §d*
2019-12-24 23:20:04.038 [main] INFO  - §6/pet add <player> <pet>
2019-12-24 23:20:04.045 [main] INFO  - §6/pet remove <player>
2019-12-24 23:20:04.050 [main] INFO  - §6/pet list
2019-12-24 23:20:08.685 [main] INFO  - §d>> §aAvailable pets: §6Cat, Dog, Chicken
2019-12-24 23:20:23.435 [main] INFO  - §cUnknown command. Try /help for a list of commands
2019-12-24 23:20:25.335 [main] INFO  - §cUnknown command. Try /help for a list of commands
2019-12-24 23:20:30.141 [main] INFO  - §d>> §aPet added
2019-12-24 23:22:01.390 [main] INFO  - §bBeasty6000§f[/173.75.62.21:59400] logged in with entity id 48 at (cruiser, -949.0742, 235.0, -492.8593)
2019-12-24 23:22:02.333 [main] INFO  - §eBeasty6000 joined the game
2019-12-24 23:23:01.285 [main] INFO  - §c5 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:23:02.286 [main] INFO  - §c4 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:23:03.285 [main] INFO  - §c3 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:23:04.285 [main] INFO  - §c2 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:23:05.285 [main] INFO  - §c1 second left to cleaning items on the ground, animals and mobs!
2019-12-24 23:23:06.341 [main] INFO  - §cItems on the ground, animals and mobs deleted!
2019-12-24 23:25:06.235 [Nukkit Asynchronous Task Handler #3] INFO  - [§eSRegionProtector§f] §aRemoved 0 empty chunks.
2019-12-24 23:25:06.235 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §aStarting auto save...
2019-12-24 23:25:06.257 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §a0 regions was automatically saved
2019-12-24 23:28:01.284 [main] INFO  - §c5 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:28:02.285 [main] INFO  - §c4 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:28:03.285 [main] INFO  - §c3 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:28:04.285 [main] INFO  - §c2 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:28:05.285 [main] INFO  - §c1 second left to cleaning items on the ground, animals and mobs!
2019-12-24 23:28:06.287 [main] INFO  - §cItems on the ground, animals and mobs deleted!
2019-12-24 23:30:16.609 [main] INFO  - Player data not found for "1ad2f0b3-9628-3f54-96af-c2cd9f59391f", creating new profile
2019-12-24 23:30:17.466 [main] INFO  - §bDarkDragon3918§f[/69.132.32.135:54582] logged in with entity id 50 at (cruiser, -897.0, 235.0, -464.0)
2019-12-24 23:30:18.254 [main] INFO  - §eDarkDragon3918 joined the game
2019-12-24 23:31:06.235 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §aStarting auto save...
2019-12-24 23:31:06.235 [Nukkit Asynchronous Task Handler #1] INFO  - [§eSRegionProtector§f] §aRemoved 0 empty chunks.
2019-12-24 23:31:06.239 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §a0 regions was automatically saved
2019-12-24 23:32:13.648 [main] FATAL - Could not pass event "cn.nukkit.event.player.PlayerTeleportEvent" to "Pets v1.3": null on me.petterim1.pets.Main
2019-12-24 23:32:13.654 [main] ERROR - Throwing
cn.nukkit.utils.EventException: null
	at cn.nukkit.plugin.MethodEventExecutor.execute(MethodEventExecutor.java:34) ~[nukkit-357.jar:?]
	at cn.nukkit.plugin.RegisteredListener.callEvent(RegisteredListener.java:56) ~[nukkit-357.jar:?]
	at cn.nukkit.plugin.PluginManager.callEvent(PluginManager.java:546) ~[nukkit-357.jar:?]
	at cn.nukkit.Player.teleport(Player.java:4207) ~[nukkit-357.jar:?]
	at cn.nukkit.entity.Entity.teleport(Entity.java:2106) ~[nukkit-357.jar:?]
	at cn.yescallop.essentialsnk.EssentialsAPI.onTP(EssentialsAPI.java:182) ~[?:?]
	at cn.yescallop.essentialsnk.command.defaults.warp.WarpCommand.execute(WarpCommand.java:75) ~[?:?]
	at cn.nukkit.command.SimpleCommandMap.dispatch(SimpleCommandMap.java:257) ~[nukkit-357.jar:?]
	at cn.nukkit.Server.dispatchCommand(Server.java:751) ~[nukkit-357.jar:?]
	at cn.nukkit.Player.handleDataPacket(Player.java:2803) ~[nukkit-357.jar:?]
	at java.util.ArrayList.forEach(Unknown Source) [?:1.8.0_211]
	at cn.nukkit.network.Network.processPackets(Network.java:197) [nukkit-357.jar:?]
	at cn.nukkit.network.Network.processBatch(Network.java:180) [nukkit-357.jar:?]
	at cn.nukkit.Player.handleDataPacket(Player.java:2092) [nukkit-357.jar:?]
	at cn.nukkit.network.RakNetInterface.handleEncapsulated(RakNetInterface.java:157) [nukkit-357.jar:?]
	at cn.nukkit.raknet.server.ServerHandler.handlePacket(ServerHandler.java:132) [nukkit-357.jar:?]
	at cn.nukkit.network.RakNetInterface.process(RakNetInterface.java:66) [nukkit-357.jar:?]
	at cn.nukkit.network.Network.processInterfaces(Network.java:83) [nukkit-357.jar:?]
	at cn.nukkit.Server.tick(Server.java:1124) [nukkit-357.jar:?]
	at cn.nukkit.Server.tickProcessor(Server.java:903) [nukkit-357.jar:?]
	at cn.nukkit.Server.start(Server.java:880) [nukkit-357.jar:?]
	at cn.nukkit.Server.<init>(Server.java:565) [nukkit-357.jar:?]
	at cn.nukkit.Nukkit.main(Nukkit.java:112) [nukkit-357.jar:?]
Caused by: java.lang.NullPointerException
	at cn.nukkit.entity.Entity.checkChunks(Entity.java:2002) ~[nukkit-357.jar:?]
	at cn.nukkit.entity.Entity.setPosition(Entity.java:2047) ~[nukkit-357.jar:?]
	at cn.nukkit.entity.Entity.setPositionAndRotation(Entity.java:1969) ~[nukkit-357.jar:?]
	at cn.nukkit.entity.Entity.teleport(Entity.java:2128) ~[nukkit-357.jar:?]
	at cn.nukkit.entity.Entity.teleport(Entity.java:2106) ~[nukkit-357.jar:?]
	at me.petterim1.pets.Main.onTeleport(Main.java:243) ~[?:?]
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[?:1.8.0_211]
	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source) ~[?:1.8.0_211]
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source) ~[?:1.8.0_211]
	at java.lang.reflect.Method.invoke(Unknown Source) ~[?:1.8.0_211]
	at cn.nukkit.plugin.MethodEventExecutor.execute(MethodEventExecutor.java:29) ~[nukkit-357.jar:?]
	... 22 more
2019-12-24 23:32:16.056 [main] INFO  - §a§6DarkDragon3918§e:  fell from a high place
2019-12-24 23:32:43.048 [main] INFO  - §a§6DarkDragon3918§e:  fell from a high place
2019-12-24 23:33:03.043 [main] INFO  - §c5 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:33:04.043 [main] INFO  - §c4 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:33:05.043 [main] INFO  - §c3 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:33:06.044 [main] INFO  - §c2 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:33:07.043 [main] INFO  - §c1 second left to cleaning items on the ground, animals and mobs!
2019-12-24 23:33:08.052 [main] INFO  - §cItems on the ground, animals and mobs deleted!
2019-12-24 23:33:24.896 [main] WARN  - Level "faction" not found
2019-12-24 23:33:28.051 [main] INFO  - Preparing level "§afactions§f"
2019-12-24 23:33:37.556 [main] INFO  - Preparing level "§aworld§f"
2019-12-24 23:35:51.050 [main] INFO  - §7[Member]§fDarkDragon3918: ur mom gay
2019-12-24 23:37:07.993 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §aStarting auto save...
2019-12-24 23:37:07.993 [Nukkit Asynchronous Task Handler #1] INFO  - [§eSRegionProtector§f] §aRemoved 0 empty chunks.
2019-12-24 23:37:07.997 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §a0 regions was automatically saved
2019-12-24 23:37:26.446 [main] INFO  - [Beasty6000: Teleported DarkDragon3918 to Beasty6000]
2019-12-24 23:37:50.849 [main] INFO  - [Beasty6000: Teleported Beasty6000 to DarkDragon3918]
2019-12-24 23:38:03.043 [main] INFO  - §c5 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:38:04.044 [main] INFO  - §c4 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:38:05.045 [main] INFO  - §c3 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:38:06.043 [main] INFO  - §c2 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:38:07.043 [main] INFO  - §c1 second left to cleaning items on the ground, animals and mobs!
2019-12-24 23:38:08.079 [main] INFO  - §cItems on the ground, animals and mobs deleted!
2019-12-24 23:38:29.124 [main] INFO  - [Beasty6000: Teleported DarkDragon3918 to Beasty6000]
2019-12-24 23:39:46.082 [main] INFO  - §a§6DarkDragon3918§e:  has just earned the achievement §aGetting Wood
2019-12-24 23:39:58.973 [main] WARN  - Level "faction" not found
2019-12-24 23:40:35.424 [main] INFO  - §a§6DarkDragon3918§e:  has just earned the achievement §aBenchmarking
2019-12-24 23:40:57.327 [main] INFO  - [Beasty6000: Teleported Beasty6000 to DarkDragon3918]
2019-12-24 23:41:01.973 [main] INFO  - §a§6DarkDragon3918§e:  has just earned the achievement §aTime to Mine!
2019-12-24 23:41:09.203 [main] INFO  - §a§6DarkDragon3918§e:  has just earned the achievement §aTime to Strike!
2019-12-24 23:43:05.921 [main] INFO  - §c5 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:43:06.922 [main] INFO  - §c4 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:43:07.922 [main] INFO  - §c3 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:43:08.923 [main] INFO  - §c2 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:43:09.923 [main] INFO  - §c1 second left to cleaning items on the ground, animals and mobs!
2019-12-24 23:43:10.876 [Nukkit Asynchronous Task Handler #1] INFO  - [§eSRegionProtector§f] §aRemoved 0 empty chunks.
2019-12-24 23:43:10.877 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §aStarting auto save...
2019-12-24 23:43:10.910 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §a0 regions was automatically saved
2019-12-24 23:43:10.941 [main] INFO  - §cItems on the ground, animals and mobs deleted!
2019-12-24 23:44:34.464 [main] INFO  - §a§6Beasty6000§e:  was slain by §a§6DarkDragon3918§e:
2019-12-24 23:44:52.366 [main] INFO  - [Beasty6000: Teleported Beasty6000 to DarkDragon3918]
2019-12-24 23:45:21.712 [main] INFO  - [Factions] [Factions v1.7.0] The faction Tacos (1) was disbanded by Beasty6000.
2019-12-24 23:45:21.716 [main] INFO  - [Factions] [Factions v1.7.0] Reset faction data (invalid faction) for player Beasty6000
2019-12-24 23:45:21.720 [main] INFO  - [Factions] [Factions v1.7.0] Reset faction data (invalid faction) for player KawaiiKid1128
2019-12-24 23:45:21.727 [main] INFO  - [Factions] [Factions v1.7.0] Reset faction data (invalid faction) for player LemonSqueezy360
2019-12-24 23:45:43.065 [main] INFO  - [Factions] [Factions v1.7.0] Beasty6000 created a new faction: daddychang
2019-12-24 23:45:50.110 [main] INFO  - [Factions] [Factions v1.7.0] The faction daddychang (1) was disbanded by Beasty6000.
2019-12-24 23:45:50.114 [main] INFO  - [Factions] [Factions v1.7.0] Reset faction data (invalid faction) for player Beasty6000
2019-12-24 23:45:58.005 [main] INFO  - §7[Member]§fDarkDragon3918: DaddyChan
2019-12-24 23:46:12.407 [main] INFO  - [Factions] [Factions v1.7.0] Beasty6000 created a new faction: DaddyChan
2019-12-24 23:46:25.755 [main] INFO  - §a§6DarkDragon3918§e:  has just earned the achievement §aGetting an Upgrade
2019-12-24 23:47:18.407 [main] INFO  - [Factions] [Factions v1.7.0] DarkDragon3918 joined the faction DaddyChan.
2019-12-24 23:48:07.003 [main] INFO  - §c5 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:48:08.003 [main] INFO  - §c4 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:48:09.002 [main] INFO  - §c3 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:48:10.004 [main] INFO  - §c2 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:48:11.002 [main] INFO  - §c1 second left to cleaning items on the ground, animals and mobs!
2019-12-24 23:48:12.014 [main] INFO  - §cItems on the ground, animals and mobs deleted!
2019-12-24 23:48:48.806 [main] INFO  - §7[Member]§fDarkDragon3918: its not working for me
2019-12-24 23:48:51.604 [main] INFO  - §7[Member]§fDarkDragon3918: bruc
2019-12-24 23:48:53.505 [main] INFO  - §7[Member]§fDarkDragon3918: bruh
2019-12-24 23:48:56.104 [main] INFO  - §b[Owner]§fBeasty6000: gliches
2019-12-24 23:49:11.951 [Nukkit Asynchronous Task Handler #0] INFO  - [§eSRegionProtector§f] §aRemoved 0 empty chunks.
2019-12-24 23:49:11.952 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §aStarting auto save...
2019-12-24 23:49:11.961 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §a0 regions was automatically saved
2019-12-24 23:50:38.354 [main] INFO  - [Beasty6000: Set the time to 0]
2019-12-24 23:51:00.357 [main] INFO  - §7[Member]§fDarkDragon3918: why
2019-12-24 23:53:07.007 [main] INFO  - §c5 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:53:08.003 [main] INFO  - §c4 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:53:09.003 [main] INFO  - §c3 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:53:10.002 [main] INFO  - §c2 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:53:11.002 [main] INFO  - §c1 second left to cleaning items on the ground, animals and mobs!
2019-12-24 23:53:12.005 [main] INFO  - §cItems on the ground, animals and mobs deleted!
2019-12-24 23:53:59.461 [main] INFO  - §7[Member]§fDarkDragon3918: how do I get flight bruh
2019-12-24 23:54:08.510 [main] INFO  - §b[Owner]§fBeasty6000: umm let me se
2019-12-24 23:54:21.462 [main] INFO  - §b[Owner]§fBeasty6000: we have to ask him to put ypur VIP tag on to u
2019-12-24 23:54:27.261 [main] INFO  - §7[Member]§fDarkDragon3918: you said kits were here too right?
2019-12-24 23:55:13.507 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §aStarting auto save...
2019-12-24 23:55:13.507 [Nukkit Asynchronous Task Handler #4] INFO  - [§eSRegionProtector§f] §aRemoved 0 empty chunks.
2019-12-24 23:55:13.512 [pool-4-thread-1] INFO  - [§eSRegionProtector§f] §a0 regions was automatically saved
2019-12-24 23:55:27.436 [main] INFO  - Player data not found for "39368dbb-fe61-3e93-8c12-922be69973e9", creating new profile
2019-12-24 23:55:29.193 [main] INFO  - §bcyruswwpro§f[/116.49.203.154:52703] logged in with entity id 250 at (cruiser, -897.0, 235.0, -464.0)
2019-12-24 23:55:29.976 [main] INFO  - §ecyruswwpro joined the game
2019-12-24 23:55:39.360 [main] INFO  - §7[Member]§fcyruswwpro: hi
2019-12-24 23:55:47.411 [main] INFO  - §7[Member]§fDarkDragon3918: hello buddy
2019-12-24 23:55:48.911 [main] INFO  - §b[Owner]§fBeasty6000: who this
2019-12-24 23:55:51.310 [main] INFO  - §7[Member]§fDarkDragon3918: is that you?
2019-12-24 23:55:57.266 [main] INFO  - §7[Member]§fDarkDragon3918: zebra
2019-12-24 23:55:59.910 [main] INFO  - §7[Member]§fcyruswwpro: i am in discord
2019-12-24 23:56:08.010 [main] INFO  - §b[Owner]§fBeasty6000: join our discored '
